,TRUL CN Equity,TRUL CN Equity,TRUL CN Equity,TRUL CN Equity,TRUL CN Equity
2020-05-09,14.29,14.55,14.29,14.48,54117.0
2020-05-10,14.29,14.55,14.29,14.48,54117.0
2020-05-11,14.75,15.08,14.58,14.97,256788.0
2020-05-12,15.0,16.43,15.0,15.92,597064.0
2020-05-13,15.89,16.18,15.24,15.9,340715.0
2020-05-14,15.8,16.0,14.02,15.95,534828.0
2020-05-15,15.72,17.59,15.72,17.34,556248.0
2020-05-16,15.72,17.59,15.72,17.34,556248.0
2020-05-17,15.72,17.59,15.72,17.34,556248.0
2020-05-18,15.72,17.59,15.72,17.34,556248.0
2020-05-19,18.23,18.92,18.01,18.51,536690.0
2020-05-20,18.74,18.89,16.66,17.82,569939.0
2020-05-21,18.24,18.73,17.91,18.0,340691.0
2020-05-22,18.13,18.75,17.66,17.66,412723.0
2020-05-23,18.13,18.75,17.66,17.66,412723.0
2020-05-24,18.13,18.75,17.66,17.66,412723.0
2020-05-25,17.61,18.5,17.61,18.31,98242.0
2020-05-26,18.44,18.48,18.1,18.11,278476.0
2020-05-27,18.55,18.55,17.6,18.06,174248.0
2020-05-28,18.0,18.3,17.88,17.95,96377.0
2020-05-29,18.0,18.17,17.57,17.57,340175.0
2020-05-30,18.0,18.17,17.57,17.57,340175.0
2020-05-31,18.0,18.17,17.57,17.57,340175.0
2020-06-01,17.14,17.92,16.59,16.83,253398.0
2020-06-02,16.65,17.3,16.57,16.7,169945.0
2020-06-03,16.6,17.51,16.56,17.2,173144.0
2020-06-04,17.39,17.98,17.22,17.76,209925.0
2020-06-05,18.05,18.15,17.31,17.5,106192.0
2020-06-06,18.05,18.15,17.31,17.5,106192.0
2020-06-07,18.05,18.15,17.31,17.5,106192.0
2020-06-08,17.37,18.06,17.33,17.86,133470.0
2020-06-09,18.47,18.47,17.63,17.72,110138.0
2020-06-10,17.82,17.82,17.45,17.55,153781.0
2020-06-11,17.06,17.47,16.13,16.63,318468.0
2020-06-12,16.64,17.14,16.45,16.7,172162.0
2020-06-13,16.64,17.14,16.45,16.7,172162.0
2020-06-14,16.64,17.14,16.45,16.7,172162.0
2020-06-15,16.31,17.15,15.79,16.88,162340.0
2020-06-16,17.06,17.34,16.7,16.84,93820.0
2020-06-17,16.85,17.09,16.61,16.9,72241.0
2020-06-18,16.75,17.07,16.74,16.91,90077.0
2020-06-19,17.04,17.35,16.37,16.9,87126.0
2020-06-20,17.04,17.35,16.37,16.9,87126.0
2020-06-21,17.04,17.35,16.37,16.9,87126.0
2020-06-22,16.54,16.76,16.34,16.6,117611.0
2020-06-23,16.58,17.2,16.52,17.1,117514.0
2020-06-24,17.17,17.18,16.57,16.75,67950.0
2020-06-25,16.95,16.95,16.47,16.75,103072.0
2020-06-26,16.92,17.09,16.7,17.0,158522.0
2020-06-27,16.92,17.09,16.7,17.0,158522.0
2020-06-28,16.92,17.09,16.7,17.0,158522.0
2020-06-29,16.42,16.9,16.42,16.75,121970.0
2020-06-30,17.09,17.43,16.86,17.12,137591.0
2020-07-01,17.09,17.43,16.86,17.12,137591.0
2020-07-02,17.44,17.75,17.27,17.35,194337.0
2020-07-03,17.25,17.77,17.25,17.45,32857.0
2020-07-04,17.25,17.77,17.25,17.45,32857.0
2020-07-05,17.25,17.77,17.25,17.45,32857.0
2020-07-06,17.79,17.79,17.14,17.35,136306.0
2020-07-07,17.46,17.46,16.83,16.83,172363.0
2020-07-08,16.95,17.42,16.81,17.09,134444.0
2020-07-09,17.36,17.54,16.99,17.24,98496.0
2020-07-10,17.2,19.99,17.01,19.99,527540.0
2020-07-11,17.2,19.99,17.01,19.99,527540.0
2020-07-12,17.2,19.99,17.01,19.99,527540.0
2020-07-13,20.15,22.73,20.15,21.0,1009580.0
2020-07-14,20.98,22.01,20.58,21.46,315155.0
2020-07-15,21.85,21.85,20.19,20.76,533890.0
2020-07-16,19.94,20.69,19.85,20.17,310915.0
2020-07-17,19.9,20.3,19.07,19.5,360544.0
2020-07-18,19.9,20.3,19.07,19.5,360544.0
2020-07-19,19.9,20.3,19.07,19.5,360544.0
2020-07-20,19.47,19.78,19.38,19.43,157699.0
2020-07-21,19.51,20.5,19.5,20.23,286365.0
2020-07-22,20.58,20.7,20.14,20.35,340491.0
2020-07-23,20.44,20.48,20.1,20.27,178179.0
2020-07-24,19.34,20.5,19.34,20.04,239388.0
2020-07-25,19.34,20.5,19.34,20.04,239388.0
2020-07-26,19.34,20.5,19.34,20.04,239388.0
2020-07-27,20.39,21.05,19.81,20.99,321010.0
2020-07-28,21.19,22.07,21.01,22.0,356987.0
2020-07-29,21.44,22.0,21.44,21.6,157727.0
2020-07-30,21.66,22.11,21.5,21.85,252138.0
2020-07-31,21.96,22.43,21.51,21.51,275711.0
2020-08-01,21.96,22.43,21.51,21.51,275711.0
2020-08-02,21.96,22.43,21.51,21.51,275711.0
2020-08-03,21.96,22.43,21.51,21.51,275711.0
2020-08-04,22.25,24.89,22.25,24.35,536196.0
2020-08-05,24.91,25.05,24.33,24.58,200063.0
2020-08-06,24.89,26.48,24.61,26.28,595357.0
2020-08-07,26.5,27.5,24.86,25.18,579563.0
2020-08-08,26.5,27.5,24.86,25.18,579563.0
2020-08-09,26.5,27.5,24.86,25.18,579563.0
2020-08-10,26.0,29.15,25.66,28.98,664172.0
2020-08-11,29.05,29.05,26.97,27.25,742644.0
2020-08-12,28.5,30.89,28.5,29.9,619706.0
2020-08-13,30.0,30.78,27.98,30.09,670573.0
2020-08-14,30.02,35.08,28.5,32.98,721996.0
2020-08-15,30.02,35.08,28.5,32.98,721996.0
2020-08-16,30.02,35.08,28.5,32.98,721996.0
2020-08-17,33.05,33.75,30.99,31.14,1011519.0
2020-08-18,31.0,31.1,28.45,29.58,1035951.0
2020-08-19,29.62,30.1,29.0,29.1,444635.0
2020-08-20,29.25,29.34,28.0,28.115,609836.0
2020-08-21,27.0,27.4,25.81,26.9,3133821.0
2020-08-22,27.0,27.4,25.81,26.9,3133821.0
2020-08-23,27.0,27.4,25.81,26.9,3133821.0
2020-08-24,26.51,27.48,26.38,27.46,580881.0
2020-08-25,27.38,27.52,27.0,27.49,356055.0
2020-08-26,27.21,27.49,26.7,26.75,348788.0
2020-08-27,26.71,27.9,26.7,27.9,508036.0
2020-08-28,27.81,29.98,27.64,29.85,743033.0
2020-08-29,27.81,29.98,27.64,29.85,743033.0
2020-08-30,27.81,29.98,27.64,29.85,743033.0
2020-08-31,29.85,30.33,29.03,29.76,570047.0
2020-09-01,29.52,29.7,28.38,28.7,381866.0
2020-09-02,28.47,29.05,27.61,27.63,542744.0
2020-09-03,27.82,27.88,26.31,26.35,394688.0
2020-09-04,26.34,27.0,24.84,26.75,510131.0
2020-09-05,26.34,27.0,24.84,26.75,510131.0
2020-09-06,26.34,27.0,24.84,26.75,510131.0
2020-09-07,26.34,27.0,24.84,26.75,510131.0
2020-09-08,26.0,27.04,26.0,26.9,235051.0
2020-09-09,26.93,27.35,26.86,27.01,274832.0
2020-09-10,27.0,27.18,26.5,26.5,292906.0
2020-09-11,26.65,27.05,26.5,27.05,108724.0
2020-09-12,26.65,27.05,26.5,27.05,108724.0
2020-09-13,26.65,27.05,26.5,27.05,108724.0
2020-09-14,26.88,27.43,26.86,27.25,130765.0
2020-09-15,27.32,27.55,26.88,26.9,134112.0
2020-09-16,26.9,27.14,26.03,26.03,91253.0
2020-09-17,26.61,26.61,25.0,25.58,1353291.0
2020-09-18,25.35,25.79,24.66,25.4,623883.0
2020-09-19,25.35,25.79,24.66,25.4,623883.0
2020-09-20,25.35,25.79,24.66,25.4,623883.0
2020-09-21,25.16,25.4,23.21,24.01,1106212.0
2020-09-22,24.15,24.44,23.74,23.9,564049.0
2020-09-23,23.99,24.13,23.14,23.3,382784.0
2020-09-24,23.0,23.19,22.4,22.68,682022.0
2020-09-25,22.77,24.49,22.63,24.31,485372.0
2020-09-26,22.77,24.49,22.63,24.31,485372.0
2020-09-27,22.77,24.49,22.63,24.31,485372.0
2020-09-28,24.37,25.3,24.37,25.14,533481.0
2020-09-29,25.16,25.35,24.91,25.04,255143.0
2020-09-30,25.0,25.19,24.55,24.8,317549.0
2020-10-01,24.88,25.0,24.09,24.45,293342.0
2020-10-02,23.98,24.91,23.63,24.7,388381.0
2020-10-03,23.98,24.91,23.63,24.7,388381.0
2020-10-04,23.98,24.91,23.63,24.7,388381.0
2020-10-05,24.45,25.45,24.45,25.07,395640.0
2020-10-06,25.15,25.73,24.81,24.98,413403.0
2020-10-07,24.25,26.56,24.25,26.49,706720.0
2020-10-08,27.5,28.24,26.43,28.18,956497.0
2020-10-09,29.97,29.97,27.41,28.06,1056632.0
2020-10-10,29.97,29.97,27.41,28.06,1056632.0
2020-10-11,29.97,29.97,27.41,28.06,1056632.0
2020-10-12,29.97,29.97,27.41,28.06,1056632.0
2020-10-13,28.45,29.06,28.22,28.82,720129.0
2020-10-14,28.82,29.08,28.5,28.75,333817.0
2020-10-15,28.64,28.81,28.02,28.7,559829.0
2020-10-16,28.85,28.9,28.49,28.64,286094.0
2020-10-17,28.85,28.9,28.49,28.64,286094.0
2020-10-18,28.85,28.9,28.49,28.64,286094.0
2020-10-19,28.82,28.85,27.69,27.91,543141.0
2020-10-20,27.84,28.7,27.84,28.19,393882.0
2020-10-21,28.15,29.53,27.37,29.42,681423.0
2020-10-22,29.6,31.26,29.14,31.08,1101283.0
2020-10-23,31.26,32.0,30.6,31.61,433980.0
2020-10-24,31.26,32.0,30.6,31.61,433980.0
2020-10-25,31.26,32.0,30.6,31.61,433980.0
2020-10-26,31.08,31.92,29.72,31.26,524452.0
2020-10-27,31.24,31.81,31.0,31.26,216618.0
2020-10-28,30.6,31.08,29.09,30.0,502098.0
2020-10-29,29.69,31.18,29.69,31.09,363776.0
2020-10-30,31.07,31.64,30.46,31.34,363517.0
2020-10-31,31.07,31.64,30.46,31.34,363517.0
2020-11-01,31.07,31.64,30.46,31.34,363517.0
2020-11-02,31.69,32.9,31.55,32.68,740099.0
2020-11-03,32.83,32.86,31.08,31.62,487974.0
2020-11-04,30.54,32.92,29.88,31.39,796427.0
2020-11-05,32.63,32.63,31.72,32.46,635507.0
2020-11-06,32.61,33.75,32.6,33.61,859278.0
2020-11-07,32.61,33.75,32.6,33.61,859278.0
2020-11-08,32.61,33.75,32.6,33.61,859278.0
2020-11-09,34.88,36.0,34.52,34.8,743112.0
2020-11-10,35.2,35.2,33.51,34.53,568067.0
2020-11-11,33.85,34.47,33.55,34.45,508368.0
2020-11-12,33.0,36.04,33.0,35.25,462440.0
2020-11-13,35.67,36.1,35.09,35.85,351206.0
2020-11-14,35.67,36.1,35.09,35.85,351206.0
2020-11-15,35.67,36.1,35.09,35.85,351206.0
2020-11-16,35.68,35.9,35.18,35.35,626523.0
2020-11-17,35.5,35.93,33.11,35.5,788580.0
2020-11-18,35.65,35.79,35.18,35.35,662654.0
2020-11-19,35.01,35.57,34.62,34.65,236117.0
2020-11-20,34.99,34.99,32.2,32.5,642792.0
2020-11-21,34.99,34.99,32.2,32.5,642792.0
2020-11-22,34.99,34.99,32.2,32.5,642792.0
2020-11-23,32.08,33.99,32.08,33.99,513985.0
2020-11-24,34.89,36.56,34.68,35.72,473132.0
2020-11-25,35.81,37.41,35.0,36.42,479845.0
2020-11-26,36.7,37.3,36.41,36.96,77472.0
2020-11-27,37.35,37.85,36.54,37.48,389246.0
2020-11-28,37.35,37.85,36.54,37.48,389246.0
2020-11-29,37.35,37.85,36.54,37.48,389246.0
2020-11-30,37.83,38.87,37.215,38.39,584251.0
2020-12-01,38.92,39.55,38.44,39.0,338669.0
2020-12-02,38.87,39.06,38.38,38.55,505811.0
2020-12-03,38.6,38.85,38.0,38.17,401378.0
2020-12-04,38.31,38.88,38.24,38.76,495814.0
2020-12-05,38.31,38.88,38.24,38.76,495814.0
2020-12-06,38.31,38.88,38.24,38.76,495814.0
2020-12-07,38.7,38.95,37.59,37.59,484417.0
2020-12-08,37.5,37.96,36.0,37.75,726200.0
2020-12-09,37.9,39.13,37.78,38.99,421584.0
2020-12-10,38.85,38.85,37.5,38.41,180261.0
2020-12-11,38.01,40.01,38.01,39.07,482523.0
2020-12-12,38.01,40.01,38.01,39.07,482523.0
2020-12-13,38.01,40.01,38.01,39.07,482523.0
2020-12-14,39.0,39.32,38.43,38.55,295613.0
2020-12-15,38.19,39.24,38.19,39.1,393280.0
2020-12-16,39.28,41.12,39.0,41.1,516631.0
2020-12-17,41.09,42.16,41.01,41.86,260446.0
2020-12-18,41.86,42.3,41.45,41.7,359182.0
2020-12-19,41.86,42.3,41.45,41.7,359182.0
2020-12-20,41.86,42.3,41.45,41.7,359182.0
2020-12-21,41.12,41.87,40.26,40.53,542010.0
2020-12-22,40.5,41.2,40.18,40.51,387175.0
2020-12-23,41.27,41.27,40.54,40.95,221110.0
2020-12-24,41.0,41.18,40.67,40.81,87378.0
2020-12-25,41.0,41.18,40.67,40.81,87378.0
2020-12-26,41.0,41.18,40.67,40.81,87378.0
2020-12-27,41.0,41.18,40.67,40.81,87378.0
2020-12-28,41.0,41.18,40.67,40.81,87378.0
2020-12-29,40.97,41.99,40.87,41.4,212307.0
2020-12-30,41.15,41.82,41.15,41.35,73316.0
2020-12-31,41.2,41.8,40.09,40.2,181415.0
2021-01-01,41.2,41.8,40.09,40.2,181415.0
2021-01-02,41.2,41.8,40.09,40.2,181415.0
2021-01-03,41.2,41.8,40.09,40.2,181415.0
2021-01-04,39.26,42.77,39.26,42.66,351229.0
2021-01-05,42.76,44.98,42.07,43.79,382368.0
2021-01-06,48.22,49.81,45.525,47.29,1070561.0
2021-01-07,48.34,50.56,47.96,49.21,670936.0
2021-01-08,49.5,51.0,46.65,50.51,1188874.0
2021-01-09,49.5,51.0,46.65,50.51,1188874.0
2021-01-10,49.5,51.0,46.65,50.51,1188874.0
2021-01-11,51.0,52.28,49.25,51.7,479108.0
2021-01-12,51.68,54.26,51.68,53.0,516176.0
2021-01-13,54.18,59.19,54.0,58.0,862872.0
2021-01-14,61.39,61.39,56.7,57.19,603036.0
2021-01-15,58.81,58.99,52.6,55.0,622560.0
2021-01-16,58.81,58.99,52.6,55.0,622560.0
2021-01-17,58.81,58.99,52.6,55.0,622560.0
2021-01-18,55.92,55.95,54.15,55.46,51637.0
2021-01-19,55.5,57.24,54.12,55.53,306796.0
2021-01-20,55.55,56.79,55.55,56.13,173288.0
2021-01-21,55.68,56.49,54.91,55.48,237459.0
2021-01-22,54.9,55.59,52.6,55.06,419274.0
2021-01-23,54.9,55.59,52.6,55.06,419274.0
2021-01-24,54.9,55.59,52.6,55.06,419274.0
2021-01-25,54.03,55.63,53.25,55.25,519841.0
2021-01-26,55.43,56.0,53.56,53.75,244056.0
2021-01-27,51.77,53.02,47.9,50.51,679647.0
2021-01-28,50.0,53.31,48.69,50.95,577274.0
2021-01-29,51.9,52.89,49.31,50.82,485771.0
2021-01-30,51.9,52.89,49.31,50.82,485771.0
2021-01-31,51.9,52.89,49.31,50.82,485771.0
2021-02-01,49.62,51.83,49.4,51.48,524928.0
2021-02-02,52.8,55.9,52.0,54.14,742259.0
2021-02-03,55.0,57.54,54.5,54.5,594344.0
2021-02-04,55.59,58.23,54.85,58.02,324489.0
2021-02-05,59.0,60.43,58.07,58.99,387648.0
2021-02-06,59.0,60.43,58.07,58.99,387648.0
2021-02-07,59.0,60.43,58.07,58.99,387648.0
2021-02-08,60.19,63.17,59.06,63.06,444762.0
2021-02-09,66.0,66.0,61.17,63.0,555621.0
2021-02-10,65.9,67.45,61.12,64.54,609167.0
2021-02-11,64.5,64.78,58.57,60.17,768859.0
2021-02-12,60.0,64.05,59.59,60.5,358283.0
2021-02-13,60.0,64.05,59.59,60.5,358283.0
2021-02-14,60.0,64.05,59.59,60.5,358283.0
2021-02-15,60.0,64.05,59.59,60.5,358283.0
2021-02-16,61.5,64.27,61.5,63.13,254374.0
2021-02-17,63.04,64.25,59.86,60.89,299881.0
2021-02-18,61.75,62.47,59.61,59.72,196462.0
2021-02-19,61.75,61.84,59.64,60.1,371063.0
2021-02-20,61.75,61.84,59.64,60.1,371063.0
2021-02-21,61.75,61.84,59.64,60.1,371063.0
2021-02-22,59.01,60.77,58.59,58.63,224358.0
2021-02-23,57.0,60.32,51.87,58.05,647369.0
2021-02-24,59.2,59.84,58.27,58.91,241587.0
2021-02-25,58.21,59.47,54.39,58.29,353046.0
2021-02-26,57.56,59.31,55.48,59.14,218842.0
2021-02-27,57.56,59.31,55.48,59.14,218842.0
2021-02-28,57.56,59.31,55.48,59.14,218842.0
2021-03-01,59.63,61.85,59.0,59.07,339543.0
2021-03-02,60.0,62.68,58.85,61.01,359536.0
2021-03-03,61.5,63.38,61.41,62.36,348700.0
2021-03-04,62.24,62.56,56.09,58.3,520302.0
2021-03-05,58.35,58.92,53.41,57.55,685834.0
2021-03-06,58.35,58.92,53.41,57.55,685834.0
2021-03-07,58.35,58.92,53.41,57.55,685834.0
2021-03-08,57.85,58.3,54.8,55.18,337433.0
2021-03-09,56.56,59.9,55.86,59.27,193397.0
2021-03-10,59.93,60.94,56.39,58.19,242207.0
2021-03-11,57.27,62.07,57.27,61.86,221083.0
2021-03-12,61.73,62.04,60.18,61.77,139864.0
2021-03-13,61.73,62.04,60.18,61.77,139864.0
2021-03-14,61.73,62.04,60.18,61.77,139864.0
2021-03-15,62.0,64.44,61.9,63.26,311970.0
2021-03-16,64.41,66.0,61.0,65.6,335140.0
2021-03-17,64.66,65.39,62.68,64.33,267589.0
2021-03-18,64.08,66.9,64.08,65.42,356628.0
2021-03-19,65.88,66.0,62.0,62.9,265130.0
2021-03-20,65.88,66.0,62.0,62.9,265130.0
2021-03-21,65.88,66.0,62.0,62.9,265130.0
2021-03-22,63.22,64.88,62.25,62.36,221761.0
2021-03-23,62.5,63.38,58.26,60.245,511739.0
2021-03-24,60.73,62.08,59.51,60.34,245529.0
2021-03-25,59.93,62.55,58.5,61.93,231584.0
2021-03-26,62.7,63.2,59.26,60.76,200585.0
2021-03-27,62.7,63.2,59.26,60.76,200585.0
2021-03-28,62.7,63.2,59.26,60.76,200585.0
2021-03-29,59.51,61.35,58.04,58.04,219343.0
2021-03-30,58.03,58.12,53.65,54.81,913405.0
2021-03-31,54.76,58.29,54.76,57.15,400049.0
2021-04-01,57.99,59.6,56.5,57.05,218618.0
2021-04-02,57.99,59.6,56.5,57.05,218618.0
2021-04-03,57.99,59.6,56.5,57.05,218618.0
2021-04-04,57.99,59.6,56.5,57.05,218618.0
2021-04-05,57.57,58.88,56.33,56.35,232599.0
2021-04-06,55.56,55.56,53.7,55.19,570890.0
2021-04-07,54.5,55.13,53.6,54.1,334976.0
2021-04-08,52.03,52.5,50.85,51.43,1183721.0
2021-04-09,51.15,52.0,50.35,51.17,567704.0
2021-04-10,51.15,52.0,50.35,51.17,567704.0
2021-04-11,51.15,52.0,50.35,51.17,567704.0
2021-04-12,50.92,51.49,48.01,49.62,803308.0
2021-04-13,49.28,51.18,49.28,50.77,367976.0
2021-04-14,51.65,52.53,51.13,51.8,364352.0
2021-04-15,53.03,53.16,49.5,49.88,342137.0
2021-04-16,50.25,50.86,48.77,48.77,362025.0
2021-04-17,50.25,50.86,48.77,48.77,362025.0
2021-04-18,50.25,50.86,48.77,48.77,362025.0
2021-04-19,48.4,49.12,45.42,47.0,783189.0
2021-04-20,48.0,48.0,43.52,44.97,800745.0
2021-04-21,44.06,47.87,44.06,47.79,442843.0
2021-04-22,48.14,49.7,45.74,48.17,547874.0
2021-04-23,48.05,50.4,47.0,47.57,586761.0
2021-04-24,48.05,50.4,47.0,47.57,586761.0
2021-04-25,48.05,50.4,47.0,47.57,586761.0
2021-04-26,47.9,48.16,46.32,47.35,362865.0
2021-04-27,47.41,49.47,47.35,49.47,243557.0
2021-04-28,49.99,50.34,49.05,49.94,275913.0
2021-04-29,49.95,50.25,48.22,48.22,216850.0
2021-04-30,48.5,51.3,48.01,51.11,516992.0
2021-05-01,48.5,51.3,48.01,51.11,516992.0
2021-05-02,48.5,51.3,48.01,51.11,516992.0
2021-05-03,51.9,53.88,51.61,53.22,518054.0
2021-05-04,52.96,52.99,49.34,50.77,500772.0
2021-05-05,51.19,51.76,49.5,50.25,304180.0
2021-05-06,50.25,51.24,47.73,47.73,351273.0
2021-05-07,48.01,50.08,47.52,49.7,184288.0
2021-05-08,48.01,50.08,47.52,49.7,184288.0
2021-05-09,48.01,50.08,47.52,49.7,184288.0
2021-05-10,48.0,50.25,46.25,46.59,694364.0
2021-05-11,46.39,48.64,44.8,47.75,529213.0
2021-05-12,48.3,49.15,47.26,47.72,325180.0
2021-05-13,49.16,49.16,46.4,47.3,384285.0
2021-05-14,48.0,48.09,46.85,47.52,297622.0
2021-05-15,48.0,48.09,46.85,47.52,297622.0
2021-05-16,48.0,48.09,46.85,47.52,297622.0
2021-05-17,47.94,49.52,47.21,48.13,314087.0
2021-05-18,48.85,49.13,48.09,48.12,187816.0
2021-05-19,47.02,48.29,46.7,47.27,154589.0
2021-05-20,47.5,47.84,46.76,46.88,149601.0
2021-05-21,47.65,47.65,46.17,47.0,231414.0
2021-05-22,47.65,47.65,46.17,47.0,231414.0
2021-05-23,47.65,47.65,46.17,47.0,231414.0
2021-05-24,47.65,47.65,46.17,47.0,231414.0
2021-05-25,47.02,47.5,45.84,46.0,297199.0
2021-05-26,46.5,46.8,45.8,46.08,267704.0
2021-05-27,46.65,46.8,45.84,46.15,230309.0
2021-05-28,46.48,47.0,45.74,45.74,239805.0
2021-05-29,46.48,47.0,45.74,45.74,239805.0
2021-05-30,46.48,47.0,45.74,45.74,239805.0
2021-05-31,45.83,46.0,43.88,44.54,117702.0
2021-06-01,46.0,46.27,44.5,45.03,315555.0
2021-06-02,45.22,46.2,45.0,45.7,258868.0
2021-06-03,45.5,46.18,45.21,45.9,250076.0
2021-06-04,45.55,47.065,45.55,46.77,342244.0
2021-06-05,45.55,47.065,45.55,46.77,342244.0
2021-06-06,45.55,47.065,45.55,46.77,342244.0
2021-06-07,47.23,47.23,46.05,46.95,298621.0
2021-06-08,47.35,47.35,46.13,46.3,135873.0
2021-06-09,46.55,47.45,46.02,46.09,228318.0
2021-06-10,46.55,46.63,45.93,46.05,189422.0
2021-06-11,46.57,47.12,45.53,45.8,266280.0
2021-06-12,46.57,47.12,45.53,45.8,266280.0
2021-06-13,46.57,47.12,45.53,45.8,266280.0
2021-06-14,46.45,46.45,44.64,44.76,141706.0
2021-06-15,45.17,45.18,43.27,43.31,207808.0
2021-06-16,43.3,45.17,43.2,43.8,542006.0
2021-06-17,44.86,44.86,44.0,44.1,409929.0
2021-06-18,44.97,45.96,44.56,44.65,335027.0
2021-06-19,44.97,45.96,44.56,44.65,335027.0
2021-06-20,44.97,45.96,44.56,44.65,335027.0
2021-06-21,45.0,45.99,44.66,45.51,141814.0
2021-06-22,45.7,46.3,43.82,44.38,287974.0
2021-06-23,44.28,47.02,44.22,47.02,229649.0
2021-06-24,47.5,48.93,46.75,48.35,476579.0
2021-06-25,48.63,49.49,47.8,47.935,177277.0
2021-06-26,48.63,49.49,47.8,47.935,177277.0
2021-06-27,48.63,49.49,47.8,47.935,177277.0
2021-06-28,48.1,48.39,47.52,48.0,130457.0
2021-06-29,48.0,48.47,47.13,47.8,174175.0
2021-06-30,47.89,47.99,46.47,46.47,166966.0
2021-07-01,47.89,47.99,46.47,46.47,166966.0
2021-07-02,47.88,48.34,46.58,47.42,168371.0
2021-07-03,47.88,48.34,46.58,47.42,168371.0
2021-07-04,47.88,48.34,46.58,47.42,168371.0
2021-07-05,47.5,47.68,47.03,47.58,20095.0
2021-07-06,47.98,48.12,46.41,46.42,172721.0
2021-07-07,47.02,47.84,46.83,47.38,312478.0
2021-07-08,46.0,47.94,45.5,47.1,227261.0
2021-07-09,47.6,48.18,47.34,47.59,200246.0
2021-07-10,47.6,48.18,47.34,47.59,200246.0
2021-07-11,47.6,48.18,47.34,47.59,200246.0
2021-07-12,47.32,47.89,46.06,46.06,125081.0
2021-07-13,46.01,47.59,45.91,45.96,557192.0
2021-07-14,46.55,47.12,44.77,44.77,327566.0
2021-07-15,45.03,45.65,41.4,45.5,756997.0
2021-07-16,45.01,45.5,43.23,43.41,485246.0
2021-07-17,45.01,45.5,43.23,43.41,485246.0
2021-07-18,45.01,45.5,43.23,43.41,485246.0
2021-07-19,42.95,43.85,41.02,42.75,399270.0
2021-07-20,43.5,44.14,42.99,43.38,166364.0
2021-07-21,43.31,44.67,42.68,43.19,168870.0
2021-07-22,42.7,43.56,41.74,42.17,88520.0
2021-07-23,41.71,42.58,40.71,40.86,272067.0
2021-07-24,41.71,42.58,40.71,40.86,272067.0
2021-07-25,41.71,42.58,40.71,40.86,272067.0
2021-07-26,40.68,41.19,40.13,40.46,210080.0
2021-07-27,40.5,40.58,39.09,39.54,389009.0
2021-07-28,39.9,40.7,39.66,40.68,287988.0
2021-07-29,41.05,41.35,40.45,40.55,194205.0
2021-07-30,40.85,40.94,39.76,40.9,172022.0
2021-07-31,40.85,40.94,39.76,40.9,172022.0
2021-08-01,40.85,40.94,39.76,40.9,172022.0
2021-08-02,40.85,40.94,39.76,40.9,172022.0
2021-08-03,41.31,41.68,40.23,41.0,204093.0
2021-08-04,40.75,41.0,39.5,39.51,259504.0
2021-08-05,39.45,41.98,39.37,41.23,355098.0
2021-08-06,41.38,41.93,41.09,41.79,170473.0
2021-08-07,41.38,41.93,41.09,41.79,170473.0
2021-08-08,41.38,41.93,41.09,41.79,170473.0
2021-08-09,42.16,42.34,41.87,41.99,219229.0
2021-08-10,42.15,42.29,40.91,41.11,237763.0
2021-08-11,40.59,41.58,39.82,40.04,209819.0
2021-08-12,40.21,40.7,38.6,38.62,693109.0
2021-08-13,39.32,39.74,37.19,37.5,716007.0
2021-08-14,39.32,39.74,37.19,37.5,716007.0
2021-08-15,39.32,39.74,37.19,37.5,716007.0
2021-08-16,36.65,37.8,34.49,35.29,1360729.0
2021-08-17,35.59,35.88,33.95,34.2,644411.0
2021-08-18,34.5,36.63,34.27,35.45,556631.0
2021-08-19,35.0,35.99,34.59,34.93,312033.0
2021-08-20,35.24,35.24,33.62,34.06,317495.0
2021-08-21,35.24,35.24,33.62,34.06,317495.0
2021-08-22,35.24,35.24,33.62,34.06,317495.0
2021-08-23,34.35,34.89,33.52,33.6,305578.0
2021-08-24,33.99,35.48,33.61,34.44,360870.0
2021-08-25,34.51,35.38,34.51,34.7,365026.0
2021-08-26,35.24,35.24,33.96,34.05,365655.0
2021-08-27,34.43,34.44,34.07,34.28,179597.0
2021-08-28,34.43,34.44,34.07,34.28,179597.0
2021-08-29,34.43,34.44,34.07,34.28,179597.0
2021-08-30,34.3,34.89,33.93,34.01,152669.0
2021-08-31,34.3,34.3,33.16,34.1,250089.0
2021-09-01,34.03,34.25,33.25,33.38,191286.0
2021-09-02,33.25,34.03,33.25,33.95,170726.0
2021-09-03,33.96,34.65,33.89,34.65,208122.0
2021-09-04,33.96,34.65,33.89,34.65,208122.0
2021-09-05,33.96,34.65,33.89,34.65,208122.0
2021-09-06,33.96,34.65,33.89,34.65,208122.0
2021-09-07,35.19,35.3,33.88,34.0,204860.0
2021-09-08,33.99,34.2,33.43,33.68,138952.0
2021-09-09,33.68,33.68,32.85,33.25,223329.0
2021-09-10,32.94,33.37,31.66,32.0,314321.0
2021-09-11,32.94,33.37,31.66,32.0,314321.0
2021-09-12,32.94,33.37,31.66,32.0,314321.0
2021-09-13,32.75,32.83,31.04,31.85,332420.0
2021-09-14,31.85,32.08,30.05,30.65,299646.0
2021-09-15,30.4,32.25,29.54,31.91,680852.0
2021-09-16,32.0,34.4,31.5,34.3,399589.0
2021-09-17,34.98,34.98,33.5,33.51,318325.0
