,CLX US Equity
,BEST_DIV_YLD
2021-03-30,2.915
2021-03-31,2.93
2021-04-01,2.931
2021-04-02,2.931
2021-04-03,2.931
2021-04-04,2.931
2021-04-05,2.907
2021-04-06,2.912
2021-04-07,2.913
2021-04-08,2.93
2021-04-09,2.972
2021-04-10,2.972
2021-04-11,2.972
2021-04-12,2.962
2021-04-13,2.994
2021-04-14,2.997
2021-04-15,2.938
2021-04-16,2.954
2021-04-17,2.954
2021-04-18,2.954
2021-04-19,2.966
2021-04-20,2.88
2021-04-21,2.86
2021-04-22,2.872
2021-04-23,2.971
2021-04-24,2.971
2021-04-25,2.971
2021-04-26,2.982
2021-04-27,3.007
2021-04-28,3.027
2021-04-29,3.013
2021-04-30,3.069
2021-05-01,3.069
2021-05-02,3.069
2021-05-03,3.135
2021-05-04,3.102
2021-05-05,3.076
2021-05-06,3.068
2021-05-07,3.095
2021-05-08,3.095
2021-05-09,3.095
2021-05-10,3.013
2021-05-11,3.046
2021-05-12,3.112
2021-05-13,3.101
2021-05-14,3.124
2021-05-15,3.124
2021-05-16,3.124
2021-05-17,3.135
2021-05-18,3.118
2021-05-19,3.135
2021-05-20,3.129
2021-05-21,3.176
2021-05-22,3.176
2021-05-23,3.176
2021-05-24,3.167
2021-05-25,3.17
2021-05-26,3.189
2021-05-27,3.209
2021-05-28,3.205
2021-05-29,3.205
2021-05-30,3.205
2021-05-31,3.205
2021-06-01,3.206
2021-06-02,3.184
2021-06-03,3.169
2021-06-04,3.164
2021-06-05,3.164
2021-06-06,3.164
2021-06-07,3.17
2021-06-08,3.223
2021-06-09,3.223
2021-06-10,3.212
2021-06-11,3.215
2021-06-12,3.215
2021-06-13,3.215
2021-06-14,3.251
2021-06-15,3.264
2021-06-16,3.252
2021-06-17,3.228
2021-06-18,3.274
2021-06-19,3.274
2021-06-20,3.274
2021-06-21,3.275
2021-06-22,3.244
2021-06-23,3.27
2021-06-24,3.275
2021-06-25,3.197
2021-06-26,3.197
2021-06-27,3.197
2021-06-28,3.146
2021-06-29,3.148
2021-06-30,3.139
2021-07-01,3.158
2021-07-02,3.15
2021-07-03,3.15
2021-07-04,3.15
2021-07-05,3.15
2021-07-06,3.115
2021-07-07,3.047
2021-07-08,3.105
2021-07-09,3.122
2021-07-10,3.122
2021-07-11,3.122
2021-07-12,3.141
2021-07-13,3.156
2021-07-14,3.127
2021-07-15,3.13
2021-07-16,3.05
2021-07-17,3.05
2021-07-18,3.05
2021-07-19,3.027
2021-07-20,3.116
2021-07-21,3.178
2021-07-22,3.145
2021-07-23,3.076
2021-07-24,3.076
2021-07-25,3.076
2021-07-26,3.062
2021-07-27,3.089
2021-07-28,3.108
2021-07-29,3.089
2021-07-30,3.122
2021-07-31,3.122
2021-08-01,3.122
2021-08-02,3.117
2021-08-03,3.386
2021-08-04,3.346
2021-08-05,3.388
2021-08-06,3.409
2021-08-07,3.409
2021-08-08,3.409
2021-08-09,3.362
2021-08-10,3.362
