,WMT US Equity
,BEST_DIV_YLD
2021-06-24,1.851
2021-06-25,1.829
2021-06-26,1.829
2021-06-27,1.829
2021-06-28,1.835
2021-06-29,1.845
2021-06-30,1.797
2021-07-01,1.819
2021-07-02,1.808
2021-07-03,1.808
2021-07-04,1.808
2021-07-05,1.808
2021-07-06,1.811
2021-07-07,1.814
2021-07-08,1.815
2021-07-09,1.806
2021-07-10,1.806
2021-07-11,1.806
2021-07-12,1.809
2021-07-13,1.802
2021-07-14,1.79
2021-07-15,1.789
2021-07-16,1.79
2021-07-17,1.79
2021-07-18,1.79
2021-07-19,1.794
2021-07-20,1.786
2021-07-21,1.795
2021-07-22,1.794
2021-07-23,1.779
2021-07-24,1.779
2021-07-25,1.779
2021-07-26,1.776
2021-07-27,1.776
2021-07-28,1.784
2021-07-29,1.781
2021-07-30,1.777
2021-07-31,1.777
2021-08-01,1.777
2021-08-02,1.782
2021-08-03,1.762
2021-08-04,1.774
2021-08-05,1.742
2021-08-06,1.745
2021-08-07,1.745
2021-08-08,1.745
2021-08-09,1.74
2021-08-10,1.704
2021-08-11,1.689
2021-08-12,1.694
2021-08-13,1.688
2021-08-14,1.688
2021-08-15,1.688
2021-08-16,1.675
2021-08-17,1.669
2021-08-18,1.687
2021-08-19,1.676
2021-08-20,1.661
2021-08-21,1.661
2021-08-22,1.661
2021-08-23,1.672
2021-08-24,1.689
2021-08-25,1.688
2021-08-26,1.707
2021-08-27,1.717
2021-08-28,1.717
2021-08-29,1.717
2021-08-30,1.703
2021-08-31,1.698
2021-09-01,1.702
2021-09-02,1.693
2021-09-03,1.685
2021-09-04,1.685
2021-09-05,1.685
2021-09-06,1.685
2021-09-07,1.708
2021-09-08,1.716
2021-09-09,1.728
2021-09-10,1.735
2021-09-11,1.735
2021-09-12,1.735
2021-09-13,1.745
2021-09-14,1.754
2021-09-15,1.751
2021-09-16,1.745
2021-09-17,1.749
2021-09-18,1.749
2021-09-19,1.749
2021-09-20,1.773
2021-09-21,1.769
2021-09-22,1.774
2021-09-23,1.773
2021-09-24,1.768
2021-09-25,1.768
2021-09-26,1.768
2021-09-27,1.779
2021-09-28,1.801
2021-09-29,1.802
2021-09-30,1.816
2021-10-01,1.847
2021-10-02,1.847
2021-10-03,1.847
2021-10-04,1.865
2021-10-05,1.852
2021-10-06,1.839
2021-10-07,1.818
2021-10-08,1.812
2021-10-09,1.812
2021-10-10,1.812
2021-10-11,1.814
2021-10-12,1.816
2021-10-13,1.829
2021-10-14,1.809
2021-10-15,1.801
2021-10-16,1.801
2021-10-17,1.801
2021-10-18,1.786
2021-10-19,1.749
2021-10-20,1.733
2021-10-21,1.724
2021-10-22,1.706
2021-10-23,1.706
2021-10-24,1.706
2021-10-25,1.686
2021-10-26,1.701
2021-10-27,1.715
2021-10-28,1.705
2021-10-29,1.694
2021-10-30,1.694
2021-10-31,1.694
2021-11-01,1.69
2021-11-02,1.69
2021-11-03,1.685
2021-11-04,1.673
2021-11-05,1.685
2021-11-06,1.685
2021-11-07,1.685
2021-11-08,1.695
2021-11-09,1.69
2021-11-10,1.705
2021-11-11,1.704
2021-11-12,1.713
2021-11-13,1.713
2021-11-14,1.713
2021-11-15,1.723
2021-11-16,1.768
2021-11-17,1.783
2021-11-18,1.768
2021-11-19,1.777
2021-11-20,1.777
2021-11-21,1.777
2021-11-22,1.748
2021-11-23,1.736
2021-11-24,1.727
2021-11-25,1.727
2021-11-26,1.747
2021-11-27,1.747
2021-11-28,1.747
2021-11-29,1.774
2021-11-30,1.8
2021-12-01,1.845
