,ITW US Equity
,BEST_DIV_YLD
2021-05-13,2.54
2021-05-14,2.53
2021-05-15,2.53
2021-05-16,2.53
2021-05-17,2.541
2021-05-18,2.594
2021-05-19,2.599
2021-05-20,2.601
2021-05-21,2.601
2021-05-22,2.601
2021-05-23,2.601
2021-05-24,2.601
2021-05-25,2.595
2021-05-26,2.624
2021-05-27,2.615
2021-05-28,2.604
2021-05-29,2.604
2021-05-30,2.604
2021-05-31,2.604
2021-06-01,2.588
2021-06-02,2.583
2021-06-03,2.574
2021-06-04,2.559
2021-06-05,2.559
2021-06-06,2.559
2021-06-07,2.585
2021-06-08,2.594
2021-06-09,2.598
2021-06-10,2.594
2021-06-11,2.593
2021-06-12,2.593
2021-06-13,2.593
2021-06-14,2.597
2021-06-15,2.601
2021-06-16,2.648
2021-06-17,2.706
2021-06-18,2.749
2021-06-19,2.749
2021-06-20,2.749
2021-06-21,2.705
2021-06-22,2.699
2021-06-23,2.718
2021-06-24,2.712
2021-06-25,2.707
2021-06-26,2.707
2021-06-27,2.707
2021-06-28,2.687
2021-06-29,2.693
2021-06-30,2.686
2021-07-01,2.673
2021-07-02,2.662
2021-07-03,2.662
2021-07-04,2.662
2021-07-05,2.662
2021-07-06,2.696
2021-07-07,2.666
2021-07-08,2.683
2021-07-09,2.65
2021-07-10,2.65
2021-07-11,2.65
2021-07-12,2.649
2021-07-13,2.649
2021-07-14,2.631
2021-07-15,2.625
2021-07-16,2.638
2021-07-17,2.638
2021-07-18,2.638
2021-07-19,2.678
2021-07-20,2.63
2021-07-21,2.627
2021-07-22,2.648
2021-07-23,2.661
2021-07-24,2.661
2021-07-25,2.661
2021-07-26,2.654
2021-07-27,2.646
2021-07-28,2.668
2021-07-29,2.638
2021-07-30,2.656
2021-07-31,2.656
2021-08-01,2.656
2021-08-02,2.671
2021-08-03,2.612
2021-08-04,2.647
2021-08-05,2.654
2021-08-06,2.645
2021-08-07,2.645
2021-08-08,2.645
2021-08-09,2.65
2021-08-10,2.611
2021-08-11,2.576
2021-08-12,2.59
2021-08-13,2.585
2021-08-14,2.585
2021-08-15,2.585
2021-08-16,2.561
2021-08-17,2.583
2021-08-18,2.62
2021-08-19,2.617
2021-08-20,2.612
2021-08-21,2.612
2021-08-22,2.612
2021-08-23,2.61
2021-08-24,2.613
2021-08-25,2.612
2021-08-26,2.619
2021-08-27,2.612
2021-08-28,2.612
2021-08-29,2.612
2021-08-30,2.587
2021-08-31,2.587
2021-09-01,2.604
2021-09-02,2.606
2021-09-03,2.636
2021-09-04,2.636
2021-09-05,2.636
2021-09-06,2.636
2021-09-07,2.718
2021-09-08,2.716
2021-09-09,2.738
2021-09-10,2.753
2021-09-11,2.753
2021-09-12,2.753
2021-09-13,2.746
2021-09-14,2.775
2021-09-15,2.736
2021-09-16,2.765
2021-09-17,2.791
2021-09-18,2.791
2021-09-19,2.791
2021-09-20,2.797
2021-09-21,2.819
2021-09-22,2.794
2021-09-23,2.766
2021-09-24,2.79
2021-09-25,2.79
2021-09-26,2.79
2021-09-27,2.782
2021-09-28,2.817
2021-09-29,2.809
