,M US Equity
,BEST_DIV_YLD
2021-05-21,10.385
2021-05-22,10.385
2021-05-23,10.385
2021-05-24,10.385
2021-05-25,10.385
2021-05-26,10.385
2021-05-27,10.385
2021-05-28,10.385
2021-05-29,10.385
2021-05-30,10.385
2021-05-31,10.385
2021-06-01,10.385
2021-06-02,10.385
2021-06-03,10.385
2021-06-04,10.385
2021-06-05,10.385
2021-06-06,10.385
2021-06-07,10.385
2021-06-08,10.385
2021-06-09,10.385
2021-06-10,10.385
2021-06-11,10.385
2021-06-12,10.385
2021-06-13,10.385
2021-06-14,10.385
2021-06-15,10.385
2021-06-16,10.385
2021-06-17,10.385
2021-06-18,10.385
2021-06-19,10.385
2021-06-20,10.385
2021-06-21,10.385
2021-06-22,10.385
2021-06-23,10.385
2021-06-24,10.385
2021-06-25,10.385
2021-06-26,10.385
2021-06-27,10.385
2021-06-28,10.385
2021-06-29,10.385
2021-06-30,10.385
2021-07-01,10.385
2021-07-02,10.385
2021-07-03,10.385
2021-07-04,10.385
2021-07-05,10.385
2021-07-06,10.385
2021-07-07,10.385
2021-07-08,10.385
2021-07-09,10.385
2021-07-10,10.385
2021-07-11,10.385
2021-07-12,10.385
2021-07-13,10.385
2021-07-14,10.385
2021-07-15,10.385
2021-07-16,10.385
2021-07-17,10.385
2021-07-18,10.385
2021-07-19,10.385
2021-07-20,10.385
2021-07-21,10.385
2021-07-22,10.385
2021-07-23,10.385
2021-07-24,10.385
2021-07-25,10.385
2021-07-26,10.385
2021-07-27,10.385
2021-07-28,10.385
2021-07-29,10.385
2021-07-30,10.385
2021-07-31,10.385
2021-08-01,10.385
2021-08-02,10.385
2021-08-03,10.385
2021-08-04,10.385
2021-08-05,10.385
2021-08-06,10.385
2021-08-07,10.385
2021-08-08,10.385
2021-08-09,10.385
2021-08-10,10.385
2021-08-11,10.385
2021-08-12,10.385
2021-08-13,10.385
2021-08-14,10.385
2021-08-15,10.385
2021-08-16,10.385
2021-08-17,10.385
2021-08-18,10.385
2021-08-19,10.385
2021-08-20,10.385
2021-08-21,10.385
2021-08-22,10.385
2021-08-23,10.385
2021-08-24,10.385
2021-08-25,10.385
2021-08-26,10.385
2021-08-27,10.385
2021-08-28,10.385
2021-08-29,10.385
2021-08-30,10.385
2021-08-31,10.385
2021-09-01,10.385
2021-09-02,10.385
2021-09-03,10.385
2021-09-04,10.385
2021-09-05,10.385
2021-09-06,10.385
2021-09-07,10.385
2021-09-08,10.385
2021-09-09,10.385
2021-09-10,10.385
2021-09-11,10.385
2021-09-12,10.385
2021-09-13,10.385
2021-09-14,10.385
2021-09-15,10.385
2021-09-16,10.385
2021-09-17,10.385
2021-09-18,10.385
2021-09-19,10.385
2021-09-20,10.385
2021-09-21,10.385
2021-09-22,10.385
2021-09-23,10.385
2021-09-24,10.385
2021-09-25,10.385
2021-09-26,10.385
2021-09-27,10.385
2021-09-28,10.385
2021-09-29,10.385
2021-09-30,10.385
2021-10-01,10.385
2021-10-02,10.385
2021-10-03,10.385
2021-10-04,10.385
2021-10-05,10.385
2021-10-06,10.385
2021-10-07,10.385
2021-10-08,10.385
2021-10-09,10.385
2021-10-10,10.385
2021-10-11,10.385
2021-10-12,10.385
2021-10-13,10.385
2021-10-14,10.385
2021-10-15,10.385
2021-10-16,10.385
2021-10-17,10.385
2021-10-18,10.385
2021-10-19,10.385
2021-10-20,10.385
2021-10-21,10.385
2021-10-22,10.385
2021-10-23,10.385
2021-10-24,10.385
2021-10-25,10.385
2021-10-26,10.385
2021-10-27,10.385
2021-10-28,10.385
2021-10-29,10.385
2021-10-30,10.385
2021-10-31,10.385
2021-11-01,10.385
2021-11-02,10.385
2021-11-03,10.385
2021-11-04,10.385
2021-11-05,10.385
2021-11-06,10.385
2021-11-07,10.385
2021-11-08,10.385
2021-11-09,10.385
2021-11-10,10.385
2021-11-11,10.385
2021-11-12,10.385
2021-11-13,10.385
2021-11-14,10.385
2021-11-15,10.385
2021-11-16,10.385
2021-11-17,10.385
2021-11-18,10.385
2021-11-19,10.385
2021-11-20,10.385
2021-11-21,10.385
2021-11-22,10.385
2021-11-23,10.385
2021-11-24,10.385
2021-11-25,10.385
2021-11-26,10.385
2021-11-27,10.385
2021-11-28,10.385
2021-11-29,10.385
2021-11-30,10.385
2021-12-01,10.385
2021-12-02,10.385
2021-12-03,10.385
2021-12-04,10.385
2021-12-05,10.385
2021-12-06,10.385
2021-12-07,10.385
2021-12-08,10.385
2021-12-09,10.385
2021-12-10,10.385
2021-12-11,10.385
2021-12-12,10.385
2021-12-13,10.385
2021-12-14,10.385
2021-12-15,10.385
2021-12-16,10.385
2021-12-17,10.385
2021-12-18,10.385
2021-12-19,10.385
2021-12-20,10.385
2021-12-21,10.385
2021-12-22,10.385
2021-12-23,10.385
2021-12-24,10.385
2021-12-25,10.385
2021-12-26,10.385
2021-12-27,10.385
2021-12-28,10.385
2021-12-29,10.385
2021-12-30,10.385
2021-12-31,10.385
2022-01-01,10.385
2022-01-02,10.385
2022-01-03,10.385
2022-01-04,10.385
2022-01-05,10.385
2022-01-06,10.385
2022-01-07,10.385
2022-01-08,10.385
2022-01-09,10.385
2022-01-10,10.385
2022-01-11,10.385
2022-01-12,10.385
2022-01-13,10.385
2022-01-14,10.385
2022-01-15,10.385
2022-01-16,10.385
2022-01-17,10.385
2022-01-18,10.385
2022-01-19,10.385
2022-01-20,10.385
2022-01-21,10.385
2022-01-22,10.385
2022-01-23,10.385
2022-01-24,10.385
2022-01-25,10.385
2022-01-26,10.385
2022-01-27,10.385
2022-01-28,10.385
2022-01-29,10.385
2022-01-30,10.385
2022-01-31,10.385
2022-02-01,10.385
2022-02-02,10.385
2022-02-03,10.385
2022-02-04,10.385
2022-02-05,10.385
2022-02-06,10.385
2022-02-07,10.385
2022-02-08,10.385
2022-02-09,10.385
2022-02-10,10.385
2022-02-11,10.385
2022-02-12,10.385
2022-02-13,10.385
2022-02-14,10.385
2022-02-15,10.385
2022-02-16,10.385
2022-02-17,10.385
2022-02-18,10.385
2022-02-19,10.385
2022-02-20,10.385
2022-02-21,10.385
2022-02-22,3.442
2022-02-23,3.202
2022-02-24,2.795
2022-02-25,2.666
2022-02-26,2.666
2022-02-27,2.666
2022-02-28,2.879
2022-03-01,3.042
2022-03-02,2.849
2022-03-03,2.867
2022-03-04,3.009
2022-03-05,3.009
2022-03-06,3.009
2022-03-07,3.484
2022-03-08,3.222
2022-03-09,3.089
2022-03-10,3.014
2022-03-11,3.157
2022-03-12,3.157
2022-03-13,3.157
2022-03-14,3.116
2022-03-15,2.982
2022-03-16,2.767
2022-03-17,2.71
2022-03-18,2.682
2022-03-19,2.682
2022-03-20,2.682
2022-03-21,2.768
2022-03-22,2.756
2022-03-23,2.881
2022-03-24,2.813
2022-03-25,2.83
2022-03-26,2.83
2022-03-27,2.83
2022-03-28,2.898
2022-03-29,2.787
2022-03-30,2.899
2022-03-31,3.043
