,QCOM US Equity
,BEST_DIV_YLD
2021-04-03,2.451
2021-04-04,2.451
2021-04-05,2.406
2021-04-06,2.446
2021-04-07,2.422
2021-04-08,2.406
2021-04-09,2.402
2021-04-10,2.402
2021-04-11,2.402
2021-04-12,2.457
2021-04-13,2.459
2021-04-14,2.506
2021-04-15,2.45
2021-04-16,2.443
2021-04-17,2.443
2021-04-18,2.443
2021-04-19,2.497
2021-04-20,2.531
2021-04-21,2.479
2021-04-22,2.539
2021-04-23,2.493
2021-04-24,2.493
2021-04-25,2.493
2021-04-26,2.43
2021-04-27,2.447
2021-04-28,2.473
2021-04-29,2.367
2021-04-30,2.433
2021-05-01,2.433
2021-05-02,2.433
2021-05-03,2.457
2021-05-04,2.518
2021-05-05,2.508
2021-05-06,2.483
2021-05-07,2.45
2021-05-08,2.45
2021-05-09,2.45
2021-05-10,2.619
2021-05-11,2.63
2021-05-12,2.71
2021-05-13,2.657
2021-05-14,2.595
2021-05-15,2.595
2021-05-16,2.595
2021-05-17,2.602
2021-05-18,2.619
2021-05-19,2.584
2021-05-20,2.546
2021-05-21,2.569
2021-05-22,2.569
2021-05-23,2.569
2021-05-24,2.541
2021-05-25,2.525
2021-05-26,2.537
2021-05-27,2.527
2021-05-28,2.51
2021-05-29,2.51
2021-05-30,2.51
2021-05-31,2.51
2021-06-01,2.521
2021-06-02,2.511
2021-06-03,2.549
2021-06-04,2.501
2021-06-05,2.501
2021-06-06,2.501
2021-06-07,2.52
2021-06-08,2.503
2021-06-09,2.528
2021-06-10,2.503
2021-06-11,2.496
2021-06-12,2.496
2021-06-13,2.496
2021-06-14,2.447
2021-06-15,2.478
2021-06-16,2.49
2021-06-17,2.482
2021-06-18,2.526
2021-06-19,2.526
2021-06-20,2.526
2021-06-21,2.508
2021-06-22,2.487
2021-06-23,2.479
2021-06-24,2.436
2021-06-25,2.441
2021-06-26,2.441
2021-06-27,2.441
2021-06-28,2.405
2021-06-29,2.356
2021-06-30,2.351
2021-07-01,2.386
2021-07-02,2.356
2021-07-03,2.356
2021-07-04,2.356
2021-07-05,2.356
2021-07-06,2.38
2021-07-07,2.4
2021-07-08,2.429
2021-07-09,2.375
2021-07-10,2.375
2021-07-11,2.375
2021-07-12,2.358
2021-07-13,2.38
2021-07-14,2.337
2021-07-15,2.375
2021-07-16,2.405
2021-07-17,2.405
2021-07-18,2.405
2021-07-19,2.421
2021-07-20,2.407
2021-07-21,2.363
2021-07-22,2.359
2021-07-23,2.319
2021-07-24,2.319
2021-07-25,2.319
2021-07-26,2.341
2021-07-27,2.384
2021-07-28,2.359
2021-07-29,2.225
2021-07-30,2.214
2021-07-31,2.214
2021-08-01,2.214
2021-08-02,2.228
2021-08-03,2.242
2021-08-04,2.238
2021-08-05,2.259
2021-08-06,2.268
2021-08-07,2.268
2021-08-08,2.268
2021-08-09,2.258
2021-08-10,2.274
2021-08-11,2.261
2021-08-12,2.254
2021-08-13,2.232
2021-08-14,2.232
2021-08-15,2.232
2021-08-16,2.239
2021-08-17,2.297
2021-08-18,2.333
2021-08-19,2.359
2021-08-20,2.335
2021-08-21,2.335
2021-08-22,2.335
2021-08-23,2.301
2021-08-24,2.296
2021-08-25,2.306
2021-08-26,2.33
2021-08-27,2.29
2021-08-28,2.29
2021-08-29,2.29
2021-08-30,2.273
2021-08-31,2.261
2021-09-01,2.255
2021-09-02,2.275
2021-09-03,2.283
2021-09-04,2.283
2021-09-05,2.283
2021-09-06,2.283
2021-09-07,2.297
2021-09-08,2.317
2021-09-09,2.332
2021-09-10,2.314
2021-09-11,2.314
2021-09-12,2.314
2021-09-13,2.302
2021-09-14,2.339
2021-09-15,2.388
2021-09-16,2.386
2021-09-17,2.471
2021-09-18,2.471
2021-09-19,2.471
2021-09-20,2.487
2021-09-21,2.506
2021-09-22,2.482
2021-09-23,2.466
2021-09-24,2.466
2021-09-25,2.466
2021-09-26,2.466
2021-09-27,2.474
2021-09-28,2.542
2021-09-29,2.554
2021-09-30,2.56
2021-10-01,2.565
2021-10-02,2.565
2021-10-03,2.565
2021-10-04,2.606
2021-10-05,2.589
2021-10-06,2.578
2021-10-07,2.583
2021-10-08,2.609
2021-10-09,2.609
2021-10-10,2.609
2021-10-11,2.643
2021-10-12,2.685
2021-10-13,2.641
2021-10-14,2.566
2021-10-15,2.536
2021-10-16,2.536
2021-10-17,2.536
2021-10-18,2.537
2021-10-19,2.492
2021-10-20,2.498
2021-10-21,2.482
2021-10-22,2.509
2021-10-23,2.509
2021-10-24,2.509
2021-10-25,2.503
2021-10-26,2.502
2021-10-27,2.517
2021-10-28,2.47
2021-10-29,2.482
2021-10-30,2.482
2021-10-31,2.482
2021-11-01,2.449
2021-11-02,2.442
2021-11-03,2.384
2021-11-04,2.054
2021-11-05,1.934
2021-11-06,1.934
2021-11-07,1.934
2021-11-08,1.901
2021-11-09,1.891
2021-11-10,1.973
2021-11-11,1.918
2021-11-12,1.972
2021-11-13,1.972
2021-11-14,1.972
2021-11-15,1.93
2021-11-16,1.789
2021-11-17,1.772
2021-11-18,1.745
2021-11-19,1.758
2021-11-20,1.758
2021-11-21,1.758
2021-11-22,1.793
2021-11-23,1.797
2021-11-24,1.8
2021-11-25,1.8
2021-11-26,1.85
2021-11-27,1.85
2021-11-28,1.85
2021-11-29,1.77
2021-11-30,1.801
2021-12-01,1.845
2021-12-02,1.83
2021-12-03,1.835
2021-12-04,1.835
2021-12-05,1.835
2021-12-06,1.847
2021-12-07,1.763
2021-12-08,1.774
2021-12-09,1.778
2021-12-10,1.762
2021-12-11,1.762
2021-12-12,1.762
