,POOL US Equity
,BEST_DIV_YLD
2021-04-28,1.03
2021-04-29,1.015
2021-04-30,1.012
2021-05-01,1.012
2021-05-02,1.012
2021-05-03,0.997
2021-05-04,0.992
2021-05-05,0.969
2021-05-06,0.984
2021-05-07,0.963
2021-05-08,0.963
2021-05-09,0.963
2021-05-10,0.961
2021-05-11,0.975
2021-05-12,1.019
2021-05-13,0.983
2021-05-14,0.975
2021-05-15,0.975
2021-05-16,0.975
2021-05-17,0.98
2021-05-18,1.005
2021-05-19,1.003
2021-05-20,0.998
2021-05-21,1.0
2021-05-22,1.0
2021-05-23,1.0
2021-05-24,0.996
2021-05-25,0.999
2021-05-26,0.999
2021-05-27,0.994
2021-05-28,0.983
2021-05-29,0.983
2021-05-30,0.983
2021-05-31,0.983
2021-06-01,0.978
2021-06-02,0.974
2021-06-03,0.979
2021-06-04,0.979
2021-06-05,0.979
2021-06-06,0.979
2021-06-07,0.985
2021-06-08,0.975
2021-06-09,0.989
2021-06-10,1.0
2021-06-11,0.994
2021-06-12,0.994
2021-06-13,0.994
2021-06-14,0.996
2021-06-15,0.988
2021-06-16,0.992
2021-06-17,0.983
2021-06-18,0.971
2021-06-19,0.971
2021-06-20,0.971
2021-06-21,0.947
2021-06-22,0.933
2021-06-23,0.943
2021-06-24,0.935
2021-06-25,0.941
2021-06-26,0.941
2021-06-27,0.941
2021-06-28,0.94
2021-06-29,0.923
2021-06-30,0.935
2021-07-01,0.929
2021-07-02,0.919
2021-07-03,0.919
2021-07-04,0.919
2021-07-05,0.919
2021-07-06,0.924
2021-07-07,0.912
2021-07-08,0.915
2021-07-09,0.901
2021-07-10,0.901
2021-07-11,0.901
2021-07-12,0.902
2021-07-13,0.911
2021-07-14,0.915
2021-07-15,0.933
2021-07-16,0.935
2021-07-17,0.935
2021-07-18,0.935
2021-07-19,0.946
2021-07-20,0.948
2021-07-21,0.937
2021-07-22,0.952
2021-07-23,0.928
2021-07-24,0.928
2021-07-25,0.928
2021-07-26,0.919
2021-07-27,0.909
2021-07-28,0.917
2021-07-29,0.898
2021-07-30,0.898
2021-07-31,0.898
2021-08-01,0.898
2021-08-02,0.9
2021-08-03,0.893
2021-08-04,0.881
2021-08-05,0.881
2021-08-06,0.892
2021-08-07,0.892
2021-08-08,0.892
2021-08-09,0.884
2021-08-10,0.886
2021-08-11,0.887
2021-08-12,0.884
2021-08-13,0.883
2021-08-14,0.883
2021-08-15,0.883
2021-08-16,0.868
2021-08-17,0.892
2021-08-18,0.899
2021-08-19,0.884
2021-08-20,0.881
2021-08-21,0.881
2021-08-22,0.881
2021-08-23,0.902
2021-08-24,0.897
2021-08-25,0.883
