,TRGP US Equity
,BEST_DIV_YLD
2021-06-20,1.712
2021-06-21,1.654
2021-06-22,1.666
2021-06-23,1.671
2021-06-24,1.659
2021-06-25,1.669
2021-06-26,1.669
2021-06-27,1.669
2021-06-28,1.717
2021-06-29,1.723
2021-06-30,1.701
2021-07-01,1.689
2021-07-02,1.688
2021-07-03,1.688
2021-07-04,1.688
2021-07-05,1.688
2021-07-06,1.72
2021-07-07,1.753
2021-07-08,1.746
2021-07-09,1.679
2021-07-10,1.679
2021-07-11,1.679
2021-07-12,1.693
2021-07-13,1.704
2021-07-14,1.758
2021-07-15,1.801
2021-07-16,1.799
2021-07-17,1.799
2021-07-18,1.799
2021-07-19,1.857
2021-07-20,1.923
2021-07-21,1.862
2021-07-22,1.862
2021-07-23,1.875
2021-07-24,1.875
2021-07-25,1.875
2021-07-26,1.834
2021-07-27,2.126
2021-07-28,1.861
2021-07-29,1.853
2021-07-30,1.889
2021-07-31,1.889
2021-08-01,1.889
2021-08-02,1.916
2021-08-03,1.889
2021-08-04,1.921
2021-08-05,1.876
2021-08-06,1.855
2021-08-07,1.855
2021-08-08,1.855
2021-08-09,1.866
2021-08-10,1.792
2021-08-11,1.8
2021-08-12,1.795
2021-08-13,1.811
2021-08-14,1.811
2021-08-15,1.811
2021-08-16,1.849
2021-08-17,1.84
2021-08-18,1.874
2021-08-19,1.935
2021-08-20,1.901
2021-08-21,1.901
2021-08-22,1.901
2021-08-23,1.847
2021-08-24,1.812
2021-08-25,1.794
2021-08-26,1.826
2021-08-27,1.762
2021-08-28,1.762
2021-08-29,1.762
2021-08-30,1.801
2021-08-31,1.811
2021-09-01,1.817
2021-09-02,1.766
2021-09-03,1.766
2021-09-04,1.766
2021-09-05,1.766
2021-09-06,1.766
2021-09-07,1.791
2021-09-08,1.796
2021-09-09,1.81
2021-09-10,1.829
2021-09-11,1.829
2021-09-12,1.829
2021-09-13,1.778
2021-09-14,1.8
2021-09-15,1.703
2021-09-16,3.103
2021-09-17,3.184
2021-09-18,3.184
2021-09-19,3.184
2021-09-20,3.083
2021-09-21,3.041
2021-09-22,2.956
2021-09-23,2.868
2021-09-24,2.869
2021-09-25,2.869
2021-09-26,2.869
2021-09-27,2.751
2021-09-28,2.758
2021-09-29,2.748
2021-09-30,2.765
2021-10-01,2.68
2021-10-02,2.68
2021-10-03,2.68
2021-10-04,2.613
2021-10-05,2.605
2021-10-06,2.622
2021-10-07,2.601
2021-10-08,2.581
2021-10-09,2.581
2021-10-10,2.581
2021-10-11,1.53
2021-10-12,1.509
2021-10-13,1.496
2021-10-14,1.47
2021-10-15,1.456
2021-10-16,1.456
2021-10-17,1.456
